"Gene","Mean"
"1007_PM_s_at",3.86975887969319
"1053_PM_at",5.77000346428545
"117_PM_at",8.97526698403224
"121_PM_at",4.38338607237639
"1255_PM_g_at",2.53670759880791
"1294_PM_at",7.19573553483763
"1316_PM_at",3.93730351020395
"1320_PM_at",2.56523320662002
"1405_PM_i_at",10.8072265809745
"1431_PM_at",2.68539069461187
"1438_PM_at",2.76790167257897
"1487_PM_at",6.19512717579887
"1494_PM_f_at",3.10615537134005
"1552256_PM_a_at",4.14234473933201
"1552257_PM_a_at",5.9011207662205
"1552258_PM_at",3.54820602438873
"1552261_PM_at",2.7375064979471
"1552263_PM_at",8.93751850415336
"1552264_PM_a_at",9.08363887939063
"1552266_PM_at",2.49085094176809
"1552269_PM_at",2.46095445599044
"1552271_PM_at",2.95764833165521
"1552272_PM_a_at",2.89493250559197
"1552274_PM_at",6.97668426862311
"1552275_PM_s_at",5.82455526459923
"1552276_PM_a_at",2.9709690178047
"1552277_PM_a_at",4.29393051207161
"1552278_PM_a_at",2.78738907422769
"1552279_PM_a_at",3.20272834292406
"1552280_PM_at",2.56735580739811
"1552281_PM_at",3.22585152819748
"1552283_PM_s_at",2.68886825964095
"1552286_PM_at",4.09242310459577
"1552287_PM_s_at",5.3173740983552
"1552288_PM_at",2.69215856990474
"1552289_PM_a_at",2.49329721880277
"1552291_PM_at",7.30313867915466
"1552293_PM_at",2.61508940418942
"1552295_PM_a_at",3.80354981279641
"1552296_PM_at",2.6369006233491
"1552299_PM_at",2.81885220005277
"1552301_PM_a_at",2.8129617042976
"1552302_PM_at",5.11085581330742
"1552303_PM_a_at",4.14027197125283
"1552304_PM_at",2.83819601595882
"1552306_PM_at",2.93473750932226
"1552307_PM_a_at",4.63633744754326
"1552309_PM_a_at",5.59429020018894
"1552310_PM_at",5.70631550938572
"1552311_PM_a_at",3.69862969546754
"1552312_PM_a_at",3.82965302979985
"1552314_PM_a_at",2.89647740219512
"1552315_PM_at",7.0562251218627
"1552316_PM_a_at",9.34805925182187
"1552318_PM_at",7.90365260861022
"1552319_PM_a_at",2.80502442646898
"1552320_PM_a_at",3.28792247913918
"1552321_PM_a_at",3.27454878289239
"1552322_PM_at",2.76601779203592
"1552323_PM_s_at",3.57034521809765
"1552325_PM_at",2.67982904882063
"1552326_PM_a_at",2.6438933393126
"1552327_PM_at",2.5180519037018
"1552329_PM_at",4.58513997667639
"1552330_PM_at",5.34119727380726
"1552332_PM_at",3.77770804120427
"1552334_PM_at",5.08961850962021
"1552335_PM_at",5.04331974875744
"1552337_PM_s_at",2.68876288492001
"1552338_PM_at",2.49978043235739
"1552340_PM_at",2.75330429157632
"1552343_PM_s_at",5.30324418022116
"1552344_PM_s_at",4.10739733055572
"1552347_PM_at",5.49079601314332
"1552348_PM_at",6.6531550825591
"1552349_PM_a_at",4.87052771422076
"1552354_PM_at",2.60249121494081
"1552355_PM_s_at",2.69493984187854
"1552359_PM_at",2.37434509533811
"1552360_PM_a_at",5.06833041111734
"1552362_PM_a_at",3.77567444477536
"1552364_PM_s_at",4.39168674852436
"1552365_PM_at",2.54663606945105
"1552367_PM_a_at",2.48368553702578
"1552368_PM_at",2.65310530095906
"1552370_PM_at",4.42153983917451
"1552372_PM_at",2.31227385697607
"1552373_PM_s_at",2.65268596029011
"1552375_PM_at",4.78544602999345
"1552377_PM_s_at",3.32793384667534
"1552378_PM_s_at",2.91695335703862
"1552379_PM_at",2.43764403793724
"1552381_PM_at",2.4424351850316
"1552383_PM_at",3.23949331437564
"1552384_PM_a_at",2.7116223382925
"1552386_PM_at",8.9817855377417
"1552388_PM_at",2.98555839373806
"1552389_PM_at",2.30945923897814
"1552390_PM_a_at",2.44166944959548
"1552391_PM_at",2.69961877887398
"1552393_PM_at",2.48740129913037
"1552394_PM_a_at",2.49237626588865
"1552395_PM_at",3.4017281308714
"1552396_PM_at",2.61892409665306
"1552398_PM_a_at",9.46304225472759
"1552399_PM_a_at",2.81913754392306
"1552400_PM_a_at",2.6020083418777
"1552401_PM_a_at",3.05104695399944
"1552402_PM_at",2.53996991991363
"1552405_PM_at",2.59267739310203
"1552408_PM_at",2.50038282279174
"1552409_PM_a_at",2.88338058427168
"1552410_PM_at",3.31623299741959
"1552411_PM_at",3.58614695908402
"1552412_PM_a_at",2.55467355469471
"1552414_PM_at",2.81721798735954
"1552415_PM_a_at",2.65481312304761
"1552417_PM_a_at",3.61001556144537
"1552418_PM_at",2.83485687152455
"1552419_PM_s_at",2.84052268867942
"1552421_PM_a_at",2.52786552217536
"1552422_PM_at",2.70520444150799
"1552423_PM_at",4.72083382026874
"1552424_PM_at",2.43894675203599
"1552425_PM_a_at",2.48866849214351
"1552426_PM_a_at",7.91066541468349
"1552427_PM_at",2.76088347323387
"1552430_PM_at",2.48605399465236
"1552432_PM_at",2.97212162053572
"1552436_PM_a_at",2.72911104324849
"1552438_PM_a_at",2.64411747042451
"1552439_PM_s_at",2.42255949501132
"1552440_PM_at",2.65871657764897
"1552445_PM_a_at",2.70236361511558
"1552448_PM_a_at",2.59470695344819
"1552449_PM_a_at",3.65541187408239
"1552450_PM_a_at",2.80469872408062
"1552452_PM_at",2.45930334182926
"1552453_PM_a_at",2.59919246168316
"1552455_PM_at",2.50773593230979
"1552456_PM_a_at",2.6535612486719
"1552457_PM_a_at",2.48082697557504
"1552458_PM_at",2.55614834514995
"1552459_PM_a_at",2.63205334940068
"1552461_PM_at",2.41469717921547
"1552463_PM_at",2.41061687968459
"1552466_PM_x_at",2.45311733285897
"1552467_PM_at",2.88798725624303
"1552468_PM_a_at",2.73759244404059
"1552470_PM_a_at",2.94573116336362
"1552472_PM_a_at",6.55078925855351
"1552473_PM_at",3.44099038377581
"1552474_PM_a_at",4.07313808049068
"1552476_PM_s_at",2.72852917109367
"1552477_PM_a_at",2.51195550517779
"1552478_PM_a_at",2.62268893417184
"1552480_PM_s_at",7.10441655602731
"1552481_PM_s_at",3.1232670587967
